"Step","lmbda0_lr5e5_steps20k - train/loss","lmbda0_lr5e5_steps20k - train/loss__MIN","lmbda0_lr5e5_steps20k - train/loss__MAX","lmbda1_lr1e4 - train/loss","lmbda1_lr1e4 - train/loss__MIN","lmbda1_lr1e4 - train/loss__MAX","lmbda1_lr5e5 - train/loss","lmbda1_lr5e5 - train/loss__MIN","lmbda1_lr5e5 - train/loss__MAX","lmbda0_beta1 - train/loss","lmbda0_beta1 - train/loss__MIN","lmbda0_beta1 - train/loss__MAX","lmbda0_lr1e4 - train/loss","lmbda0_lr1e4 - train/loss__MIN","lmbda0_lr1e4 - train/loss__MAX","lmbda1_tok512 - train/loss","lmbda1_tok512 - train/loss__MIN","lmbda1_tok512 - train/loss__MAX","lmbda1_bs16 - train/loss","lmbda1_bs16 - train/loss__MIN","lmbda1_bs16 - train/loss__MAX","lmbda1_tok256 - train/loss","lmbda1_tok256 - train/loss__MIN","lmbda1_tok256 - train/loss__MAX","lmbda1_beta05 - train/loss","lmbda1_beta05 - train/loss__MIN","lmbda1_beta05 - train/loss__MAX","lmbda0_beta05 - train/loss","lmbda0_beta05 - train/loss__MIN","lmbda0_beta05 - train/loss__MAX"
"0","0.3661","0.3661","0.3661","0.4697","0.4697","0.4697","0.4697","0.4697","0.4697","0.3661","0.3661","0.3661","0.3661","0.3661","0.3661","1.7601","1.7601","1.7601","0.8721","0.8721","0.8721","0.9203","0.9203","0.9203","0.1467","0.1467","0.1467","0.1198","0.1198","0.1198"
"1","","","","0.426","0.426","0.426","0.426","0.426","0.426","0.3794","0.3794","0.3794","0.3794","0.3794","0.3794","1.6337","1.6337","1.6337","0.9281","0.9281","0.9281","0.8376","0.8376","0.8376","0.1338","0.1338","0.1338","0.1181","0.1181","0.1181"
"2","","","","0.4776","0.4776","0.4776","0.4894","0.4894","0.4894","0.3535","0.3535","0.3535","0.3517","0.3517","0.3517","1.8197","1.8197","1.8197","0.8247","0.8247","0.8247","0.9444","0.9444","0.9444","0.1593","0.1593","0.1593","0.1279","0.1279","0.1279"
"3","0.3441","0.3441","0.3441","0.482","0.482","0.482","0.4814","0.4814","0.4814","0.3461","0.3461","0.3461","0.347","0.347","0.347","1.7015","1.7015","1.7015","0.8597","0.8597","0.8597","0.9049","0.9049","0.9049","0.1392","0.1392","0.1392","0.1056","0.1056","0.1056"
"4","0.3301","0.3301","0.3301","0.4025","0.4025","0.4025","0.4027","0.4027","0.4027","0.331","0.331","0.331","0.3277","0.3277","0.3277","1.6615","1.6615","1.6615","0.8993","0.8993","0.8993","0.7878","0.7878","0.7878","0.1294","0.1294","0.1294","0.1069","0.1069","0.1069"
"5","0.3554","0.3554","0.3554","0.4103","0.4103","0.4103","0.4169","0.4169","0.4169","0.3565","0.3565","0.3565","0.3515","0.3515","0.3515","1.5559","1.5559","1.5559","0.8851","0.8851","0.8851","0.8041","0.8041","0.8041","0.1348","0.1348","0.1348","0.1201","0.1201","0.1201"
"6","","","","0.4106","0.4106","0.4106","0.4069","0.4069","0.4069","0.3544","0.3544","0.3544","0.3439","0.3439","0.3439","1.6912","1.6912","1.6912","0.9196","0.9196","0.9196","0.8711","0.8711","0.8711","0.1322","0.1322","0.1322","0.1116","0.1116","0.1116"
"7","","","","0.4601","0.4601","0.4601","0.4707","0.4707","0.4707","0.3594","0.3594","0.3594","0.348","0.348","0.348","1.8121","1.8121","1.8121","0.8872","0.8872","0.8872","0.9313","0.9313","0.9313","0.1457","0.1457","0.1457","0.12","0.12","0.12"
"8","","","","0.4508","0.4508","0.4508","0.4644","0.4644","0.4644","0.3851","0.3851","0.3851","0.3604","0.3604","0.3604","1.7985","1.7985","1.7985","0.9167","0.9167","0.9167","0.9207","0.9207","0.9207","0.1529","0.1529","0.1529","0.1204","0.1204","0.1204"
"9","0.3679","0.3679","0.3679","0.4305","0.4305","0.4305","0.4483","0.4483","0.4483","0.3697","0.3697","0.3697","0.3327","0.3327","0.3327","1.8841","1.8841","1.8841","0.8249","0.8249","0.8249","0.8565","0.8565","0.8565","0.1321","0.1321","0.1321","0.1177","0.1177","0.1177"
"10","","","","0.3869","0.3869","0.3869","0.4185","0.4185","0.4185","0.3486","0.3486","0.3486","0.3069","0.3069","0.3069","1.6911","1.6911","1.6911","0.9148","0.9148","0.9148","0.8174","0.8174","0.8174","0.1253","0.1253","0.1253","0.1116","0.1116","0.1116"
"11","0.3237","0.3237","0.3237","0.4593","0.4593","0.4593","0.4883","0.4883","0.4883","0.3216","0.3216","0.3216","0.2734","0.2734","0.2734","1.9183","1.9183","1.9183","0.9034","0.9034","0.9034","0.9606","0.9606","0.9606","0.1462","0.1462","0.1462","0.0998","0.0998","0.0998"
"12","","","","0.3762","0.3762","0.3762","0.4149","0.4149","0.4149","0.3938","0.3938","0.3938","0.3181","0.3181","0.3181","1.7061","1.7061","1.7061","0.8825","0.8825","0.8825","0.8624","0.8624","0.8624","0.1369","0.1369","0.1369","0.1176","0.1176","0.1176"
"13","","","","0.3906","0.3906","0.3906","0.4633","0.4633","0.4633","0.3378","0.3378","0.3378","0.2719","0.2719","0.2719","1.7128","1.7128","1.7128","0.8668","0.8668","0.8668","0.8717","0.8717","0.8717","0.1428","0.1428","0.1428","0.1198","0.1198","0.1198"
"14","0.393","0.393","0.393","0.3456","0.3456","0.3456","0.3911","0.3911","0.3911","0.3825","0.3825","0.3825","0.2908","0.2908","0.2908","1.7116","1.7116","1.7116","0.9271","0.9271","0.9271","0.8599","0.8599","0.8599","0.1377","0.1377","0.1377","0.1179","0.1179","0.1179"
"15","","","","0.3761","0.3761","0.3761","0.4129","0.4129","0.4129","0.341","0.341","0.341","0.2675","0.2675","0.2675","1.9795","1.9795","1.9795","0.9286","0.9286","0.9286","0.9301","0.9301","0.9301","0.1485","0.1485","0.1485","0.1115","0.1115","0.1115"
"16","0.3558","0.3558","0.3558","0.3309","0.3309","0.3309","0.3914","0.3914","0.3914","0.3524","0.3524","0.3524","0.2595","0.2595","0.2595","1.6684","1.6684","1.6684","0.8871","0.8871","0.8871","0.8925","0.8925","0.8925","0.1346","0.1346","0.1346","0.1145","0.1145","0.1145"
"17","0.3745","0.3745","0.3745","0.3692","0.3692","0.3692","0.4271","0.4271","0.4271","0.3748","0.3748","0.3748","0.3111","0.3111","0.3111","2.1056","2.1056","2.1056","0.8518","0.8518","0.8518","0.9183","0.9183","0.9183","0.1543","0.1543","0.1543","0.1278","0.1278","0.1278"
"18","0.3451","0.3451","0.3451","0.339","0.339","0.339","0.3921","0.3921","0.3921","0.3315","0.3315","0.3315","0.2271","0.2271","0.2271","1.6692","1.6692","1.6692","0.8699","0.8699","0.8699","0.8681","0.8681","0.8681","0.1387","0.1387","0.1387","0.1093","0.1093","0.1093"
"19","0.3286","0.3286","0.3286","0.3114","0.3114","0.3114","0.3396","0.3396","0.3396","0.3253","0.3253","0.3253","0.2149","0.2149","0.2149","1.5366","1.5366","1.5366","0.971","0.971","0.971","0.8311","0.8311","0.8311","0.1362","0.1362","0.1362","0.1072","0.1072","0.1072"
"20","","","","0.3032","0.3032","0.3032","0.3409","0.3409","0.3409","0.3223","0.3223","0.3223","0.2118","0.2118","0.2118","1.7196","1.7196","1.7196","0.8603","0.8603","0.8603","0.9418","0.9418","0.9418","0.141","0.141","0.141","0.1075","0.1075","0.1075"
"21","0.4162","0.4162","0.4162","0.3179","0.3179","0.3179","0.3486","0.3486","0.3486","0.4008","0.4008","0.4008","0.2699","0.2699","0.2699","1.681","1.681","1.681","0.8055","0.8055","0.8055","0.8664","0.8664","0.8664","0.1419","0.1419","0.1419","0.1285","0.1285","0.1285"
"22","","","","0.3262","0.3262","0.3262","0.3751","0.3751","0.3751","0.3445","0.3445","0.3445","0.2377","0.2377","0.2377","1.7316","1.7316","1.7316","0.8585","0.8585","0.8585","0.8962","0.8962","0.8962","0.1504","0.1504","0.1504","0.1237","0.1237","0.1237"
"23","","","","0.3055","0.3055","0.3055","0.3636","0.3636","0.3636","0.34","0.34","0.34","0.2379","0.2379","0.2379","1.754","1.754","1.754","0.8551","0.8551","0.8551","0.8801","0.8801","0.8801","0.1498","0.1498","0.1498","0.1109","0.1109","0.1109"
"24","","","","0.2955","0.2955","0.2955","0.3345","0.3345","0.3345","0.3247","0.3247","0.3247","0.2335","0.2335","0.2335","1.596","1.596","1.596","0.8989","0.8989","0.8989","0.8466","0.8466","0.8466","0.1398","0.1398","0.1398","0.1206","0.1206","0.1206"
"25","0.3594","0.3594","0.3594","0.2755","0.2755","0.2755","0.3121","0.3121","0.3121","0.3317","0.3317","0.3317","0.2273","0.2273","0.2273","1.61","1.61","1.61","0.8481","0.8481","0.8481","0.8001","0.8001","0.8001","0.1332","0.1332","0.1332","0.1158","0.1158","0.1158"
"26","0.3794","0.3794","0.3794","0.2866","0.2866","0.2866","0.2952","0.2952","0.2952","0.3291","0.3291","0.3291","0.2144","0.2144","0.2144","1.4949","1.4949","1.4949","0.8401","0.8401","0.8401","0.7868","0.7868","0.7868","0.1403","0.1403","0.1403","0.1121","0.1121","0.1121"
"27","0.3083","0.3083","0.3083","0.2498","0.2498","0.2498","0.2795","0.2795","0.2795","0.2806","0.2806","0.2806","0.1865","0.1865","0.1865","1.5788","1.5788","1.5788","0.7814","0.7814","0.7814","0.8357","0.8357","0.8357","0.1235","0.1235","0.1235","0.0956","0.0956","0.0956"
